Study_ID,Species_scientific_name,Species_common_name,Comment,Class_scientific_name
S_050,Mus musculus,BALB/c mice,The authors did not report the scientific name,Mammalia
S_052,Accipiter gentilis,Northern goshawk,na,Aves
S_052,Haliaeetus albicilla,White-tailed eagle,na,Aves
S_052,Neophron percnopterus,Egyptian vulture,na,Aves
S_052,Peregrine falcon,Peregrine falcon,na,Aves
S_052,Pandion haliaetus,Osprey,na,Aves
S_052,Strix aluco,Tawny owl,na,Aves
S_052,Falco tinnunculus,Common kestrel,na,Aves
S_052,Tyto alba,Barn owl,na,Aves
S_052,Aquila chrysaetos,Golden eagle,na,Aves
S_052,Accipiter nisus,Eurasian sparrowhawk,na,Aves
S_059,Rattus norvegicus,Rat,na,Mammalia
S_059,Mus musculus,Mice,na,Mammalia
S_059,Leporidae,Rabbit,na,Mammalia
S_067,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_067,Danio rerio,Zebrafish,The authors did not report the scientific name,Actinopterygii
S_067,Mus musculus,BALB/c mice,The authors did not report the scientific name,Mammalia
S_067,Mus musculus,BALB/cAnN mice,The authors did not report the scientific name,Mammalia
S_067,Mus musculus,NSG mice,The authors did not report the scientific name,Mammalia
S_079,Caenorhabditis elegans,Roundworm,The authors did not report the common name,Chromadorea
S_079,Dugesia japonica,Flatworm,The authors did not report the common name,Turbellaria
S_079,Rana pipiens,Northern leopard frog,The authors did not report the common name,Amphibia
S_079,Danio rerio,Zebrafish,The authors did not report the common name,Actinopterygii
S_079,Oryzias melastigma,Ricefishe,The authors did not report the common name,Actinopterygii
S_079,Ursus maritimus,Polar bear,The authors did not report the common name,Mammalia
S_079,Oreochromis mossambicus,Mozambique tilapia,The authors did not report the common name,Actinopterygii
S_079,Tursiops truncatus,Bottlenose dolphin,The authors did not report the common name,Mammalia
S_079,Pusa hispida,Ringed seal,The authors did not report the common name,Mammalia
S_079,Tachycineta bicolor,Tree swallow,The authors did not report the common name,Aves
S_079,Sus scrofa,Wild boar,The authors did not report the common name,Mammalia
S_088,Salvelinus namaycush,Lake trout,na,Actinopterygii
S_088,Larus argentatus,Herring Gull,na,Aves
S_089,Haliaeetus leucocephalus,Bald Eagle,The authors did not report the scientific name,Aves
S_089,Salvelinus namaycush,Lake trout,The authors did not report the scientific name,Actinopterygii
S_090,Macaca fascicularis,Cynomolgus monkey,The authors did not report the scientific name,Mammalia
S_090,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_090,Mus musculus,Mice,The authors did not report the scientific name,Mammalia
